,Time,User,Tweet
0,2023-01-18 04:50:18+00:00,streamersph,RT @TheTechTourist: Where is TechTourist Today? Come watch now on TWITCH LIVE @ https://t.co/Be87ttS2Ij #irl #twitch #streamersph #ebike #philippines
1,2023-01-18 04:45:19+00:00,jaiunmarjorie,"RT @aravivienm: great morning!! 14 respondents na lang po ang need namin
⬇️⬇️⬇️⬇️⬇️⬇️⬇️⬇️⬇️⬇️⬇️

#TropicalHut
#Marketing
#Research
#Survey…"
2,2023-01-18 04:45:00+00:00,gulf_news,"#Philippines: Nobel laureate Maria Ressa acquitted of tax evasion

Duterte's government said it had nothing to do with any of the cases against Ressa 

https://t.co/u0CuYd5wXa"
3,2023-01-18 04:44:41+00:00,EmedHealthtech,"Request a #free quote: https://t.co/QUghlaMf8P 

#health #customsoftware #customapp #healthsoftware #healthcaresoftware #healthapp #healthcareapp #emedhealthtech #emedstore #telemedicine #telehealth  #healthintegration #Canada #Malaysia #Philippines #Singapore #Vietnam #Thailand https://t.co/OmPLDgVkwD"
4,2023-01-18 04:44:20+00:00,PaoPaoPawikan,"RT @aravivienm: great morning!! 14 respondents na lang po ang need namin
⬇️⬇️⬇️⬇️⬇️⬇️⬇️⬇️⬇️⬇️⬇️

#TropicalHut
#Marketing
#Research
#Survey…"
5,2023-01-18 04:41:57+00:00,KaJuror,"Thank God that justice has been done in this case in the #Philippines
#DefendPressFreedom https://t.co/CFYjvV5pIS https://t.co/3RYDUqY4qe"
6,2023-01-18 04:39:48+00:00,MonicaBulanday,@missvenezuela #affiliate #sponsored #ad #brandambassador #missuniversevenezuelaXmonicabulanday #missuniversevenezuela #monicabulandayaffiliates #monicabulandaypaidpartnerships #QueenOfAffiliatesAndPaidPartnerships #Philippines https://t.co/chs90EooiB
7,2023-01-18 04:37:44+00:00,dumidyeypee,"RT @aravivienm: great morning!! 14 respondents na lang po ang need namin
⬇️⬇️⬇️⬇️⬇️⬇️⬇️⬇️⬇️⬇️⬇️

#TropicalHut
#Marketing
#Research
#Survey…"
8,2023-01-18 04:33:24+00:00,treasurephcebu,"Thank you to everyone who helped and never gave up. TEUMES sakalam! 🫶👏

#TREASURE #트레저 #TOUR #HELLO #PHILIPPINES #TREASURE_HELLO_IN_MANILA"
9,2023-01-18 04:33:03+00:00,BasketBoyish07,"RT @Lapillus_love_: 🌟
#Lapillus #LAPILLUS #lapillus #Philippines https://t.co/4VydFc9Fk4"
10,2023-01-18 04:32:35+00:00,elle_rie2016,"RT @TREASURENATION_: [News] Live Nation Philippines, the organizer for PHILIPPINE leg of TREASURE's upcoming ASIA TOUR, changed their ticke…"
11,2023-01-18 04:32:16+00:00,thomascarle,1116 Thomas Carle - https://t.co/vNzKwFIEmu - Philippines Memories 2022 - On our way to Boracay. Philippines from above. #Philippines #Travel https://t.co/Jt1R3fTvOi
12,2023-01-18 04:32:12+00:00,HarlanMandel,"Some good news out of #Philippines: #NobelPrize winner @mariaressa and @rapplerdotcom acquitted on charges of tax evasion in 4 of the 7 cases  brought against them. Appeal of the other 3 cases is pending, however, so still at risk. https://t.co/u7oCFC7Oxd"
